date,monthly_return,volume,ticker
2020-01-31,0.05401,7346625.0,AAPL
2020-02-28,-0.11431,7538341.0,AAPL
2020-03-31,-0.069762,15678412.0,AAPL
2020-04-30,0.155374,8151167.0,AAPL
2020-05-29,0.084956,7011777.0,AAPL
2020-06-30,0.147386,8095231.0,AAPL
2020-07-31,0.165132,7543023.0,AAPL
2020-08-31,0.216309,11844232.0,AAPL
2020-09-30,-0.102526,38816274.0,AAPL
2020-10-30,-0.060012,28938282.0,AAPL
2020-11-30,0.09549,21197000.0,AAPL
2020-12-31,0.114574,23205317.0,AAPL
2021-01-29,-0.005502,22434811.0,AAPL
2021-02-26,-0.079532,18332944.0,AAPL
2021-03-31,0.00734,26489849.0,AAPL
2021-04-30,0.076218,18888744.0,AAPL
2021-05-28,-0.050434,17116318.0,AAPL
2021-06-30,0.099109,16058898.0,AAPL
2021-07-30,0.064982,19182583.0,AAPL
2021-08-31,0.042438,14615956.0,AAPL
2021-09-30,-0.068037,17967120.0,AAPL
2021-10-29,0.058657,15637134.0,AAPL
2021-11-30,0.10494,16900358.0,AAPL
2021-12-31,0.074229,24442196.0,AAPL
2022-01-31,-0.015712,21083470.0,AAPL
2022-02-28,-0.054011,16150782.0,AAPL
2022-03-31,0.057473,21788892.0,AAPL
2022-04-29,-0.097131,16861153.0,AAPL
2022-05-31,-0.054424,24000066.0,AAPL
2022-06-30,-0.08143,17649177.0,AAPL
2022-07-29,0.188634,14469716.0,AAPL
2022-08-31,-0.031137,15086319.0,AAPL
2022-09-30,-0.120977,20853206.0,AAPL
2022-10-31,0.109551,18666227.0,AAPL
2022-11-30,-0.033129,17240790.0,AAPL
2022-12-30,-0.122273,16746278.0,AAPL
